H,K,L,FreeR_flag,IMEAN,SIGIMEAN,I(+),SIGI(+),I(-),SIGI(-),F,SIGF,DANO,SIGDANO,F(+),SIGF(+),F(-),SIGF(-),ISYM
15,12,9,8,284.3089,228.7796,,,284.3089,228.7796,131.0074,54.02141,,,,,131.0074,54.02141,2
15,12,10,2,310.95,379.6377,310.95,379.6377,,,123.7849,58.34253,,,123.7849,58.34253,,,1
15,12,11,16,,,,,,,,,,,,,,,
15,13,0,1,215.3483,109.0674,215.3483,109.0674,215.3483,109.0674,124.2742,33.23495,-0,0,124.2742,47.00132,124.2742,47.00132,0
15,13,1,11,2683.524,927.1202,2461.126,1326.705,2895.786,1296.122,351.9255,94.65512,-34.85046,189.3102,334.5003,132.9186,369.3508,134.7999,0
15,13,2,12,3048.981,778.7455,2000.528,1343.25,3579.778,955.7549,405.5365,81.17258,-195.9383,162.3452,307.5674,129.11,503.5057,98.4203,0
15,13,3,18,1104.918,680.5786,,,1104.918,680.5786,256.767,96.96696,,,,,256.767,96.96696,2
15,13,4,5,705.3953,233.1246,438.9752,543.4009,765.4905,258.0811,229.8125,48.99776,-56.75391,97.99553,201.4355,83.18304,258.1894,51.8045,0
15,13,5,2,214.7997,106.8331,65.54918,141.2866,414.0661,163.2525,144.9849,30.65824,-84.29904,61.31648,102.8354,42.43691,187.1344,44.25855,0
15,13,6,8,149.9375,135.175,136.4707,150.078,207.8209,311.144,129.3411,37.95375,-26.33788,75.9075,116.1722,45.09008,142.5101,61.06417,0
15,13,7,17,161.5847,152.1787,161.5847,152.1787,,,119.6565,45.65674,,,119.6565,45.65674,,,1
15,13,8,4,483.897,257.1178,416.2639,344.8967,568.508,385.7648,153.7003,46.69765,-12.59669,93.3953,147.402,63.74698,159.9987,68.2569,0
