H,K,L,F,SIGF,DANO,SIGDANO,F(+),SIGF(+),F(-),SIGF(-),ISYM,IMEAN,SIGIMEAN,I(+),SIGI(+),I(-),SIGI(-),FreeR_flag
22,17,4,242.1323,28.07891,4.687317,58.5117,243.2968,45.09592,238.6094,37.2824,0,1.859472,0.4176348,1.912078,0.6614245,1.824593,0.5385756,12
22,17,5,223.6404,35.36143,-54.83043,70.2609,193.8774,53.87097,248.7078,45.10558,0,1.603729,0.4785148,1.210347,0.6771665,1.99608,0.6762786,7
22,17,6,166.2626,53.21101,-41.24962,90.69682,161.5017,59.29321,202.7513,68.6311,0,0.8427813,0.6261473,0.6438813,0.7857671,1.188794,1.036389,0
22,17,7,263.6706,47.53041,-30.36514,94.06587,244.5904,74.94978,274.9555,56.84119,0,2.242809,0.7555389,1.870665,1.255804,2.453933,0.9458787,7
22,17,8,216.7838,60.13261,-56.28838,107.8129,206.1501,67.47977,262.4385,84.08385,0,1.513707,0.8444947,1.272814,1.003548,2.098179,1.563175,16
22,17,9,296.9916,99.75141,0,99.75141,,,296.9916,99.75141,2,2.574569,2.1892,0,0,2.574569,2.1892,19
22,17,10,,,,,,,,,,,,,,,,4
22,17,11,,,,,,,,,,,,,,,,10
22,18,0,289.698,26.97211,0,0,289.698,26.97211,289.698,26.97211,0,2.649206,0.4834393,2.649206,0.4834393,2.649206,0.4834393,15
22,18,1,172.576,16.82735,37.84427,35.40591,189.256,21.65923,151.4117,28.00815,0,0.9409168,0.179447,1.135596,0.2519429,0.7404657,0.2556506,2
22,18,2,279.0998,19.16059,4.679596,38.97369,280.5054,25.83136,275.8258,29.18371,0,2.449273,0.3326834,2.483297,0.4484172,2.407617,0.4961692,6
22,18,3,187.82,31.66004,56.65036,61.89987,220.4484,43.97832,163.798,43.56032,0,1.134425,0.3589456,1.575116,0.5855294,0.8691031,0.454326,2
22,18,4,218.227,31.30043,-40.03908,63.34382,196.4191,47.57647,236.4582,41.82007,0,1.520881,0.4152817,1.256007,0.5787037,1.802093,0.5962849,1
22,18,5,215.0661,36.18279,55.48869,70.61674,242.4261,46.94357,186.9375,52.75439,0,1.487288,0.4697592,1.902358,0.6865534,1.121906,0.6441518,16
22,18,6,279.0948,34.09074,-145.3711,71.40434,202.5833,59.02323,347.9544,40.18503,0,2.474093,0.5831323,1.30733,0.7941069,3.839547,0.8590654,14
22,18,7,305.7649,36.72896,21.5657,75.99113,313.2773,49.36964,291.7116,57.76929,0,2.968034,0.6888415,3.146468,0.935984,2.757188,1.017444,19
22,18,8,249.6553,47.28922,-13.78163,91.45943,241.4768,69.8476,255.2585,59.04354,0,2.015454,0.7118792,1.861231,1.115685,2.121358,0.9245389,15
22,18,9,172.492,65.43686,-141.0316,118.2852,157.7887,66.05757,298.8203,98.12125,0,0.6497784,0.9728762,0.1125078,1.09481,2.666739,2.121246,16
22,18,10,,,,,,,,,,,,,,,,9
22,18,11,,,,,,,,,,,,,,,,7
22,19,0,179.6552,20.44362,0,0,179.6552,20.44362,179.6552,20.44362,0,1.023173,0.2257849,1.023173,0.2257849,1.023173,0.2257849,7
22,19,1,148.6871,17.72021,18.11623,36.31472,157.0425,24.95904,138.9263,26.37812,0,0.7017031,0.1616602,0.7909728,0.237119,0.6241735,0.2209777,17
22,19,2,176.3065,22.91848,-29.12872,47.31097,159.2827,36.59647,188.4115,29.98376,0,0.9891821,0.2469232,0.8259709,0.3571793,1.138585,0.3417366,0
22,19,3,233.8852,24.43537,34.44073,50.01505,252.353,36.0103,217.9123,34.7097,0,1.730593,0.3524217,2.033311,0.552638,1.523108,0.4575251,11
22,19,4,238.5074,27.24227,-38.78059,58.72647,213.293,48.1074,252.0735,33.682,0,1.803474,0.3993779,1.480695,0.6269254,2.023932,0.5181147,18
22,19,5,201.31,36.98589,-68.91043,69.91669,165.1407,54.09068,234.0512,44.30058,0,1.308538,0.4488447,0.8163109,0.6447779,1.771326,0.6251994,1
22,19,6,231.0342,38.8748,72.17342,75.66846,264.759,47.87501,192.5856,58.59777,0,1.716354,0.5421804,2.261715,0.7641404,1.163453,0.7694043,12
22,19,7,248.4572,43.46037,-82.1237,83.39122,207.7411,63.00356,289.8648,54.63193,0,1.988621,0.6512296,1.355608,0.8905095,2.71634,0.9548036,10
22,19,8,104.8195,47.17056,103.8383,83.51288,200.8141,69.31374,96.97579,46.58332,0,-0.3358142,0.6495048,1.135886,1.058102,-1.225631,0.8227507,12
22,19,9,143.5124,61.80756,-45.99841,107.1542,154.267,67.5118,200.2654,83.21162,0,-0.1101786,1.006139,-0.304799,1.240985,0.2631518,1.718775,6
22,19,10,,,,,,,,,,,,,,,,3
22,20,0,132.2396,25.79084,0,0,132.2396,25.79084,132.2396,25.79084,0,0.5662431,0.2057988,0.5662431,0.2057988,0.5662431,0.2057988,16
22,20,1,225.2951,14.4209,20.403,29.07948,235.5455,20.36889,215.1425,20.7539,0,1.594966,0.2022833,1.74929,0.2973365,1.461997,0.2759974,9
22,20,2,125.3476,30.16566,67.24335,51.18983,165.7436,35.30206,98.50024,37.06971,0,0.5115501,0.2338004,0.8926822,0.3549969,0.2195991,0.3107004,6
22,20,3,308.132,21.19859,99.2849,51.41862,340.9255,24.32693,241.6406,45.29983,0,2.985384,0.4063445,3.655916,0.5156888,1.887221,0.6599498,7
22,20,4,279.1799,25.36592,-20.36835,52.36582,266.7284,39.9615,287.0967,33.84166,0,2.459308,0.4383996,2.275953,0.646591,2.615316,0.5964246,19
22,20,5,165.4281,41.86784,23.56374,73.88699,181.3329,51.92465,157.7691,52.56537,0,0.8897331,0.433879,1.052305,0.6193807,0.7330942,0.6079736,4
22,20,6,332.7983,30.33716,6.263184,61.79612,334.4294,43.24207,328.1662,44.14615,0,3.494858,0.62497,3.55862,0.8839341,3.431123,0.8837479,8
22,20,7,224.7529,62.41986,48.18213,106.529,256.9985,73.12611,208.8163,77.46609,0,1.626687,0.9093724,2.116746,1.232435,1.041001,1.347324,6
